"AnimalID","StartDate","Sex","BirthDate","PairingDate","ExperimentalGroup","OriginalGroup","KingRemovalDate","OriginalGroup_LastParturitionDate","IsolationDate","DeathDate","LastDate","ExperimentalUnit","Treatment","Age","BS_Original","FirstDCConceptionDate","FirstDCParturitionDate","FirstDCParturitionColony","BS_Final","EvictionDate","EvictionStatus","ConceptionCategory","Eviction_GS","BS_Original2","EvictionStatus2","IsolationPeriod","EvictionPairingDayDiff","FirstConceptionPairingDayDiff","FirstConceptionEvictionDayDiff","FirstParturitionPairingDayDiff","FirstParturitionEvictionDayDiff","Eviction_Cat"
"ARM003",2021-12-13,"M",2015-02-28,2022-02-15,"Licher","Kori",NA,NA,2021-12-13,2023-05-04,2023-05-04,1,"Queen",2480,"Breeder",NA,NA,NA,"Breeder",2022-04-28,"InGroup","NotConceived",NA,"Breeder","InGroup",64,72,NA,NA,NA,NA,"Slow"
"DVM009",2021-12-23,"M",2016-05-26,2022-02-15,"Tusker","RuRu",NA,NA,2021-12-23,NA,2024-03-20,2,"Queen",2037,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",54,NA,NA,NA,NA,NA,"None"
"VGF001",2021-12-30,"F",2017-04-21,2022-02-15,"Licher","RuRu",NA,2021-12-23,2022-01-18,2023-06-20,2023-06-20,1,"Queen",1733,"Breeder",2022-03-17,2022-06-10,"LCT001","Breeder",2022-04-28,"Evictee","Conceived","SecondTrimester","Breeder","Evictee",28,72,30,-42,115,43,"Slow"
"RRF004",2021-12-30,"F",2020-02-13,2022-02-15,"Licher","RuRu",NA,NA,2022-01-18,2023-05-04,2023-05-04,1,"Queen",705,"Helper",2022-05-07,2022-07-31,"Licher","Breeder",2022-04-28,"Evictor","NotConceived","Conception","Helper","Evictor",28,72,81,9,166,94,"Slow"
"COF014",2021-12-30,"F",2017-03-03,2022-02-15,"Tusker","Kori",NA,2021-12-12,2022-01-18,NA,2024-03-20,2,"Queen",1782,"Breeder",2022-02-18,2022-05-14,"Tusker","Breeder",NA,"InGroup","Conceived",NA,"Breeder","InGroup",28,NA,3,NA,88,NA,"None"
"KBF006",2021-12-30,"F",2020-08-28,2022-02-15,"Tusker","Kori",NA,NA,2022-01-18,NA,2024-03-20,2,"Queen",508,"Helper",2022-02-27,2022-05-23,"Tusker","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,12,NA,97,NA,"None"
"COM009",2022-01-13,"M",2016-11-15,2022-04-28,"BlueMoon","The Maags",NA,NA,2022-01-13,2023-03-29,2023-03-29,3,"Sub",1885,"Breeder",NA,NA,NA,"Breeder",2022-05-01,"InGroup","NotConceived",NA,"Breeder","InGroup",105,3,NA,NA,NA,NA,"Rapid"
"RRF006",2022-01-18,"F",2020-02-13,2022-02-15,"DarlingBrew","RuRu",NA,NA,2022-01-18,2023-03-29,2023-03-29,4,"Sub",705,"Helper",2022-04-08,2022-07-02,"DarlingBrew","Breeder",2022-03-08,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,21,52,31,137,116,"Rapid"
"RRF010",2022-01-18,"F",2020-08-22,2022-02-15,"DarlingBrew","RuRu",NA,NA,2022-01-18,2023-02-27,2023-02-27,4,"Sub",514,"Helper",NA,NA,NA,"NonBreeder",2022-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,21,NA,NA,NA,NA,"Rapid"
"CUF012",2022-01-18,"F",2016-01-04,2022-02-15,"Trolls","Curie",NA,NA,2022-01-18,2023-02-27,2023-02-27,5,"Sub",2206,"Helper",NA,NA,NA,"NonBreeder",2022-02-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid"
"CUF031",2022-01-18,"F",2018-02-03,2022-02-15,"Trolls","Curie",NA,NA,2022-01-18,2023-03-29,2023-03-29,5,"Sub",1445,"Helper",2022-02-27,2022-05-23,"Trolls","Breeder",2022-02-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,12,11,97,96,"Rapid"
"GOM004",2022-02-15,"M",2015-12-10,2022-02-15,"DarlingBrew","Goodall",NA,NA,2022-02-15,2023-03-29,2023-03-29,4,"Sub",2259,"Breeder",NA,NA,NA,"Breeder",2022-03-08,"InGroup","NotConceived",NA,"Breeder","InGroup",0,21,NA,NA,NA,NA,"Rapid"
"VIM011",2022-02-15,"M",2017-04-05,2022-02-15,"Trolls","Virunga",NA,NA,2022-02-15,2023-03-29,2023-03-29,5,"Sub",1777,"Breeder",NA,NA,NA,"Breeder",2022-02-16,"InGroup","NotConceived",NA,"Breeder","InGroup",0,1,NA,NA,NA,NA,"Rapid"
"DVM010",2022-03-14,"M",2016-05-26,2022-04-28,"BlackLabel","DaVinci",NA,NA,2022-03-14,2024-01-22,2024-01-22,6,"Queen",2118,"Breeder",NA,NA,NA,"Breeder",2022-09-27,"InGroup","NotConceived",NA,"Breeder","InGroup",45,152,NA,NA,NA,NA,"Slow"
"DVM006",2022-03-14,"M",2016-01-03,2022-04-28,"Chouffe","DaVinci",NA,NA,2022-03-14,2023-05-08,2023-05-08,7,"Queen",2262,"Breeder",NA,NA,NA,"Breeder",2022-04-29,"InGroup","NotConceived",NA,"Breeder","InGroup",45,1,NA,NA,NA,NA,"Rapid"
"Z3F043",2022-03-31,"F",2017-01-06,2022-04-28,"BlackLabel","The Maags",NA,2022-01-26,2022-03-31,2023-02-27,2023-02-27,6,"Queen",1910,"Breeder",2022-07-27,2022-10-20,"BLT001","Breeder",2022-09-27,"Evictee","Conceived","ThirdTrimester","Breeder","Evictee",28,152,90,-62,175,23,"Slow"
"TMF002",2022-03-31,"F",2020-03-22,2022-04-28,"BlackLabel","The Maags",NA,NA,2022-03-31,2023-12-02,2023-12-02,6,"Queen",739,"Helper",2022-10-02,2022-12-26,"BlackLabel","Breeder",2022-09-27,"Evictor","NotConceived","Conception","Helper","Evictor",28,152,157,5,242,90,"Slow"
"WAF041",2022-03-31,"F",2020-02-21,2022-04-28,"BlueMoon","Watson",NA,NA,2022-03-31,2023-03-29,2023-03-29,3,"Sub",769,"Helper",2022-05-11,2022-08-04,"BlueMoon","Breeder",2022-05-01,"Evictor","NotConceived","Conception","Helper","Evictor",28,3,13,10,98,95,"Rapid"
"WAF045",2022-03-31,"F",2020-09-07,2022-04-28,"BlueMoon","Watson",NA,NA,2022-03-31,2023-02-27,2023-02-27,3,"Sub",570,"Helper",NA,NA,NA,"NonBreeder",2022-05-01,"Evictee","NotConceived",NA,"Helper","Evictee",28,3,NA,NA,NA,NA,"Rapid"
"WEF005",2022-03-31,"F",2016-04-22,2022-04-28,"Chouffe","PlakaPlaka",NA,2022-03-05,2022-03-31,2023-02-27,2023-02-27,7,"Queen",2169,"Breeder",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Breeder","Evictee",28,1,NA,NA,NA,NA,"Rapid"
"PPF008",2022-03-31,"F",2020-03-21,2022-04-28,"Chouffe","PlakaPlaka",NA,NA,2022-03-31,2023-05-08,2023-05-08,7,"Queen",740,"Helper",2022-06-23,2022-09-16,"Chouffe","Breeder",2022-04-29,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,1,56,55,141,140,"Rapid"
"PPF007",2022-03-31,"F",2020-03-21,2022-04-28,"Delirium","PlakaPlaka",NA,NA,2022-03-31,2023-04-05,2023-04-05,8,"Sub",740,"Helper",2022-05-13,2022-08-06,"Delirium","Breeder",2022-04-29,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,15,14,100,99,"Rapid"
"PPF009",2022-03-31,"F",2020-08-11,2022-04-28,"Delirium","PlakaPlaka",NA,NA,2022-03-31,2022-06-16,2022-06-16,8,"Sub",597,"Helper",NA,NA,NA,"NonBreeder",2022-04-29,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid"
"BO40M008",2022-03-31,"M",NA,2022-04-28,"Delirium","Tesla",NA,NA,2022-01-13,2023-04-05,2023-04-05,8,"Sub",NA,"Breeder",NA,NA,NA,"Breeder",2022-04-29,"InGroup","NotConceived",NA,"Breeder","InGroup",105,1,NA,NA,NA,NA,"Rapid"
"ARF028",2022-05-06,"F",2017-06-15,2022-06-03,"Corbeau","Shorny",NA,2022-03-06,2022-05-06,2023-01-17,2023-01-17,9,"Queen",1786,"Breeder",2022-06-16,2022-09-09,"Corbeau","Breeder",2023-01-16,"Evictee","Conceived",NA,"Breeder","Evictee",28,227,13,-214,98,-129,"Slow"
"SOF001",2022-05-06,"F",2020-02-08,2022-06-03,"Corbeau","Shorny",NA,NA,2022-05-06,NA,2024-03-20,9,"Queen",818,"Helper",2023-03-01,2023-05-25,"Corbeau","Breeder",2023-01-16,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,227,271,44,356,129,"Slow"
"PPM004",2022-05-06,"M",2019-08-03,2022-06-03,"Corbeau","PlakaPlaka",NA,NA,2022-03-14,NA,2024-03-20,9,"Queen",954,"Breeder",NA,NA,NA,"Breeder",2023-01-16,"InGroup","NotConceived",NA,"Breeder","InGroup",81,227,NA,NA,NA,NA,"Slow"
"SOF002",2022-05-06,"F",2020-02-08,2022-06-03,"Firestone","Shorny",NA,NA,2022-05-06,2023-02-27,2023-02-27,10,"Sub",818,"Helper",NA,NA,NA,"NonBreeder",2022-06-07,"Evictee","NotConceived",NA,"Helper","Evictee",28,4,NA,NA,NA,NA,"Rapid"
"SOF006",2022-05-06,"F",2020-07-14,2022-06-03,"Firestone","Shorny",NA,NA,2022-05-06,2022-12-20,2022-12-20,10,"Sub",661,"Helper",2022-09-25,2022-12-22,"Firestone","NonBreeder",2022-06-07,"Evictor","NotConceived","PreFirst","Helper","Evictor",28,4,114,110,202,198,"Rapid"
"DRM006",2022-05-06,"M",2016-12-02,2022-06-03,"Firestone","PlakaPlaka",NA,NA,2022-02-20,2023-12-18,2023-12-18,10,"Sub",1906,"Breeder",NA,NA,NA,"Breeder",2022-06-07,"InGroup","NotConceived",NA,"Breeder","InGroup",103,4,NA,NA,NA,NA,"Rapid"
"DRF015",2022-05-06,"F",2017-07-28,2022-06-03,"Guinness","Roms",NA,2022-03-08,2022-05-06,2023-05-10,2023-05-10,11,"Queen",1743,"Breeder",2022-07-09,2022-10-02,"Guinness","Breeder",2022-10-14,"Evictee","Conceived",NA,"Breeder","Evictee",28,133,36,-97,121,-12,"Slow"
"RSF008",2022-05-06,"F",2020-07-23,2022-06-03,"Guinness","Roms",NA,NA,2022-05-06,2023-11-28,2023-11-28,11,"Queen",652,"Helper",2023-02-13,2023-05-09,"Guinness","Breeder",2022-10-14,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",28,133,255,122,340,207,"Slow"
"BEM007",2022-05-06,"M",2014-11-09,2022-06-03,"Guinness","Shorny",NA,NA,2022-03-03,2023-11-28,2023-11-28,11,"Queen",2671,"Breeder",NA,NA,NA,"Breeder",2022-10-14,"InGroup","NotConceived",NA,"Breeder","InGroup",92,133,NA,NA,NA,NA,"Slow"
"GOF035",2022-05-06,"F",2020-02-22,2022-06-03,"Hoodoo","Goodall",NA,NA,2022-05-06,2023-05-04,2023-05-04,12,"Sub",804,"Helper",2022-06-14,2022-09-07,"Hoodoo","Breeder",2022-06-08,"Evictor","NotConceived","Conception","Helper","Evictor",28,5,11,6,96,91,"Rapid"
"GOF040",2022-05-06,"F",2020-10-09,2022-06-03,"Hoodoo","Goodall",NA,NA,2022-05-06,2023-02-27,2023-02-27,12,"Sub",574,"Helper",NA,NA,NA,"NonBreeder",2022-06-08,"Evictee","NotConceived",NA,"Helper","Evictee",28,5,NA,NA,NA,NA,"Rapid"
"LAM015",2022-05-06,"M",2017-04-22,2022-06-03,"Hoodoo","Roms",NA,NA,2022-03-03,2023-05-04,2023-05-04,12,"Sub",1776,"Breeder",NA,NA,NA,"Breeder",2022-06-08,"InGroup","NotConceived",NA,"Breeder","InGroup",92,5,NA,NA,NA,NA,"Rapid"
"MIM003",2022-07-14,"M",2019-04-29,2022-08-15,"Angol","Milou",NA,NA,2022-04-04,2023-10-19,2023-10-19,13,"Queen",1071,"Breeder",NA,NA,NA,"Breeder",2022-08-16,"InGroup","NotConceived",NA,"Breeder","InGroup",133,1,NA,NA,NA,NA,"Rapid"
"G10M033",2022-07-14,"M",2015-04-07,2022-08-15,"DevilsPeak","Milou",NA,NA,2022-04-04,NA,2024-03-20,14,"Sub",2554,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",133,NA,NA,NA,NA,NA,"None"
"DVM021",2022-07-14,"M",2017-01-19,2022-08-15,"DjuDju","DaVinci",NA,NA,2022-04-04,2023-05-08,2023-05-08,15,"Sub",1901,"Breeder",NA,NA,NA,"Breeder",2022-08-16,"InGroup","NotConceived",NA,"Breeder","InGroup",133,1,NA,NA,NA,NA,"Rapid"
"FAM003",2022-07-14,"M",2014-12-15,2022-08-15,"Stella","DaVinci",NA,NA,2022-04-04,NA,2024-03-20,16,"Queen",2667,"Breeder",NA,NA,NA,"Breeder",2022-08-16,"InGroup","NotConceived",NA,"Breeder","InGroup",133,1,NA,NA,NA,NA,"Rapid"
"WAF002",2022-07-18,"F",2013-11-23,2022-08-15,"Angol","DaVinci",NA,2022-04-27,2022-07-18,2023-10-19,2023-10-19,13,"Queen",3159,"Breeder",2022-08-31,2022-11-24,"Angol","Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,16,15,101,100,"Rapid"
"DVF047",2022-07-18,"F",2018-12-12,2022-08-15,"Angol","DaVinci",NA,NA,2022-07-18,2023-02-27,2023-02-27,13,"Queen",1314,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid"
"DVF048",2022-07-18,"F",2018-12-12,2022-08-15,"DevilsPeak","DaVinci",NA,NA,2022-07-18,2023-05-11,2023-05-11,14,"Sub",1314,"Helper",2022-09-17,2022-12-11,"DevilsPeak","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,33,NA,118,NA,"None"
"DVF061",2022-07-18,"F",2020-01-31,2022-08-15,"DevilsPeak","DaVinci",NA,NA,2022-07-18,NA,2024-03-20,14,"Sub",899,"Helper",2023-08-06,2023-10-30,"DevilsPeak","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",28,NA,356,NA,441,NA,"None"
"MIF012",2022-07-18,"F",2020-07-18,2022-08-15,"DjuDju","Milou",NA,NA,2022-07-18,2023-02-27,2023-02-27,15,"Sub",730,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid"
"MIF016",2022-07-18,"F",2020-11-08,2022-08-15,"DjuDju","Milou",NA,NA,2022-07-18,2023-05-08,2023-05-08,15,"Sub",617,"Helper",2022-08-30,2022-11-23,"DjuDju","Breeder",2022-08-16,"Evictor","NotConceived","Conception","Helper","Evictor",28,1,15,14,100,99,"Rapid"
"TSF048",2022-07-18,"F",2017-08-22,2022-08-15,"Stella","Milou",NA,2022-04-16,2022-07-18,NA,2024-03-20,16,"Queen",1791,"Breeder",2022-08-24,2022-11-17,"Stella","Breeder",2022-08-16,"Evictor","NotConceived","Conception","Breeder","Evictor",28,1,9,8,94,93,"Rapid"
"MIF008",2022-07-18,"F",2020-02-17,2022-08-15,"Stella","Milou",NA,NA,2022-07-18,2023-02-27,2023-02-27,16,"Queen",882,"Helper",NA,NA,NA,"NonBreeder",2022-08-16,"Evictee","NotConceived",NA,"Helper","Evictee",28,1,NA,NA,NA,NA,"Rapid"
"KGF002",2023-01-31,"F",2016-11-01,2023-05-10,"Leffe","Erotics",NA,2023-01-26,2023-04-07,2024-02-21,2024-02-21,17,"Queen",2348,"Breeder",2023-05-16,2023-08-09,"Leffe","Breeder",2023-08-12,"Evictee","Conceived",NA,"Breeder","Evictee",33,94,6,-88,91,-3,"Slow"
"DRF004",2023-03-02,"F",2016-06-28,2023-03-02,"Bitburger","Marabou",NA,2022-12-30,2023-02-03,2024-02-21,2024-02-21,18,"Queen",2411,"Breeder",2023-06-10,2023-09-03,"BBT001","Breeder",2023-03-04,"Evictee","NotConceived","NotPregnant","Breeder","Evictee",27,2,100,98,185,183,"Rapid"
"MBF004",2023-03-02,"F",2020-11-14,2023-03-02,"Bitburger","Marabou",NA,NA,2023-02-03,NA,2024-03-20,18,"Queen",811,"Helper",2023-04-20,2023-07-14,"Bitburger","Breeder",2023-03-04,"Evictor","NotConceived","PreFirstConception","Helper","Evictor",27,2,49,47,134,132,"Rapid"
"G10M034",2023-03-02,"M",2015-04-07,2023-03-02,"Bitburger","Orycterope",NA,NA,2022-12-16,NA,2024-03-20,18,"Queen",2810,"Breeder",NA,NA,NA,"Breeder",2023-03-04,"InGroup","NotConceived",NA,"Breeder","InGroup",76,2,NA,NA,NA,NA,"Rapid"
"GOF025",2023-03-02,"F",2018-07-31,2023-03-02,"Corona","Amobo",NA,2021-06-22,2023-02-03,2024-02-21,2024-02-21,19,"Queen",1648,"Breeder",NA,NA,NA,"NonBreeder",2023-03-03,"Evictee","NotConceived",NA,"Breeder","Evictee",27,1,NA,NA,NA,NA,"Rapid"
"ABF002",2023-03-02,"F",2021-06-22,2023-03-02,"Corona","Amobo",NA,NA,2023-02-03,NA,2024-03-20,19,"Queen",591,"Helper",2023-03-19,2023-06-12,"Corona","Breeder",2023-03-03,"Evictor","NotConceived","Conception","Helper","Evictor",27,1,17,16,102,101,"Rapid"
"MOM001",2023-03-02,"M",2015-06-13,2023-03-02,"Corona","Marabou",NA,NA,2022-12-16,NA,2024-03-20,19,"Queen",2743,"Breeder",NA,NA,NA,"Breeder",2023-03-03,"InGroup","NotConceived",NA,"Breeder","InGroup",76,1,NA,NA,NA,NA,"Rapid"
"MBF003",2023-03-02,"F",2020-06-09,2023-03-02,"GhostShip","Marabou",NA,NA,2023-02-03,NA,2024-03-20,20,"Sub",969,"Helper",2023-03-12,2023-06-05,"GhostShip","Breeder",2023-03-10,"Evictor","NotConceived","Conception","Helper","Evictor",27,8,10,2,95,87,"Rapid"
"MBF006",2023-03-02,"F",2021-03-19,2023-03-02,"GhostShip","Marabou",NA,NA,2023-02-03,2024-02-21,2024-02-21,20,"Sub",686,"Helper",NA,NA,NA,"NonBreeder",2023-03-10,"Evictee","NotConceived",NA,"Helper","Evictee",27,8,NA,NA,NA,NA,"Rapid"
"GOM013",2023-03-02,"M",2017-01-12,2023-03-02,"GhostShip","Goodall",NA,NA,2023-01-12,2024-01-15,2024-01-15,20,"Sub",2191,"Breeder",NA,NA,NA,"Breeder",2023-03-10,"InGroup","NotConceived",NA,"Breeder","InGroup",49,8,NA,NA,NA,NA,"Rapid"
"ORF005",2023-03-02,"F",2020-02-10,2023-03-02,"Kasteel","Orycterope",NA,NA,2023-02-03,NA,2024-03-20,21,"Sub",1089,"Helper",2023-03-19,2023-06-12,"Kasteel","Breeder",2023-03-08,"Evictor","NotConceived","Conception","Helper","Evictor",27,6,17,11,102,96,"Rapid"
"ORF018",2023-03-02,"F",2021-05-26,2023-03-02,"Kasteel","Orycterope",NA,NA,2023-02-03,2024-02-21,2024-02-21,21,"Sub",618,"Helper",NA,NA,NA,"NonBreeder",2023-03-08,"Evictee","NotConceived",NA,"Helper","Evictee",27,6,NA,NA,NA,NA,"Rapid"
"DRM006",2023-03-02,"M",2016-12-02,2023-03-02,"Kasteel","Firestone",NA,NA,2023-03-02,2023-12-18,2023-12-18,21,"Sub",2281,"Breeder",NA,NA,NA,"Breeder",2023-03-08,"InGroup","NotConceived",NA,"Breeder","InGroup",0,6,NA,NA,NA,NA,"Rapid"
"VGF002",2023-03-02,"F",2017-04-21,2023-03-02,"WicklowWolf","Orycterope",NA,2023-01-15,2023-02-03,2023-09-28,2023-09-28,22,"Queen",2114,"Breeder",2023-03-11,2023-06-04,"WicklowWolf","Breeder",2023-09-28,"Evictee","Conceived",NA,"Breeder","Evictee",27,210,9,-201,94,-116,"Slow"
"ORF017",2023-03-02,"F",2020-12-15,2023-03-02,"WicklowWolf","Orycterope",NA,NA,2023-02-03,NA,2024-03-20,22,"Queen",780,"Helper",NA,NA,NA,"NonBreeder",2023-09-28,"Evictor","NotConceived",NA,"Helper","Evictor",27,210,NA,NA,NA,NA,"Slow"
"MAM022",2023-03-02,"M",2017-10-05,2023-03-02,"WicklowWolf","Gemsbok 4",NA,NA,2022-12-28,NA,2024-03-20,22,"Queen",1910,"Breeder",NA,NA,NA,"Breeder",2023-09-28,"InGroup","NotConceived",NA,"Breeder","InGroup",64,210,NA,NA,NA,NA,"Slow"
"TIF025",2023-03-22,"F",2018-03-12,2023-05-10,"Asahi","Tinbergen",NA,NA,2023-04-07,2024-02-21,2024-02-21,23,"Sub",1852,"Helper",NA,NA,NA,"NonBreeder",2023-05-10,"Evictee","NotConceived",NA,"Helper","Evictee",33,0,NA,NA,NA,NA,"Rapid"
"TIF039",2023-03-22,"F",2020-03-23,2023-05-10,"Asahi","Tinbergen",NA,NA,2023-04-07,NA,2024-03-20,23,"Sub",1110,"Helper",2023-05-23,2023-08-16,"Asahi","Breeder",2023-05-10,"Evictor","NotConceived","Conception","Helper","Evictor",33,0,13,13,98,98,"Rapid"
"TIF036",2023-03-22,"F",2019-08-25,2023-05-10,"Featherstone","Tinbergen",NA,NA,2023-04-07,NA,2024-03-20,24,"Sub",1321,"Helper",2023-05-22,2023-08-15,"Featherstone","Breeder",2023-05-14,"Evictor","NotConceived","Conception","Helper","Evictor",33,4,12,8,97,93,"Rapid"
"TIF038",2023-03-22,"F",2020-03-23,2023-05-10,"Featherstone","Tinbergen",NA,NA,2023-04-07,2024-02-21,2024-02-21,24,"Sub",1110,"Helper",NA,NA,NA,"NonBreeder",2023-05-14,"Evictee","NotConceived",NA,"Helper","Evictee",33,4,NA,NA,NA,NA,"Rapid"
"ERF002",2023-03-23,"F",2020-12-29,2023-05-10,"Leffe","Erotics",NA,NA,2023-04-07,NA,2024-03-20,17,"Queen",829,"Helper",2023-08-22,2023-11-15,"Leffe","Breeder",2023-08-12,"Evictor","NotConceived","Conception","Helper","Evictor",33,94,104,10,189,95,"Slow"
"BEF006",2023-03-24,"F",2014-11-09,2023-05-10,"Lion","Bennett",NA,NA,2023-04-07,NA,2024-03-20,25,"Sub",3071,"Helper",2023-05-21,2023-08-14,"Lion","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",33,NA,11,NA,96,NA,"None"
"BEF036",2023-03-24,"F",2018-01-09,2023-05-10,"Lion","Bennett",NA,NA,2023-04-07,NA,2024-03-20,25,"Sub",1914,"Helper",2023-08-14,2023-11-07,"Lion","Breeder",NA,"InGroup","Conceived",NA,"Helper","InGroup",33,NA,96,NA,181,NA,"None"
"CUM014",2023-05-10,"M",2016-01-04,2023-05-10,"Asahi","Erotics",NA,NA,2023-01-19,NA,2024-03-20,23,"Sub",2572,"Breeder",NA,NA,NA,"Breeder",2023-05-10,"InGroup","NotConceived",NA,"Breeder","InGroup",111,0,NA,NA,NA,NA,"Rapid"
"PNM006",2023-05-10,"M",2017-03-15,2023-05-10,"Featherstone","Pangolin",NA,NA,2023-03-06,NA,2024-03-20,24,"Sub",2182,"Breeder",NA,NA,NA,"Breeder",2023-05-14,"InGroup","NotConceived",NA,"Breeder","InGroup",65,4,NA,NA,NA,NA,"Rapid"
"MEM001",2023-05-10,"M",2015-02-17,2023-05-10,"Leffe","Mendel",NA,NA,2023-03-06,2023-07-17,2023-07-17,17,"Queen",2939,"Breeder",NA,NA,NA,"Breeder",2023-08-12,"InGroup","NotConceived",NA,"Breeder","InGroup",65,94,NA,NA,NA,NA,"Slow"
"PNM028",2023-05-10,"M",2019-08-27,2023-05-10,"Lion","Pangolin",NA,NA,2023-03-06,NA,2024-03-20,25,"Sub",1287,"Breeder",NA,NA,NA,"Breeder",NA,"InGroup","NotConceived",NA,"Breeder","InGroup",65,NA,NA,NA,NA,NA,"None"
