"ObsRef","ObsFileID","PrevObs_TimeDiff","ObsType","DataSource","ColonyRef","Colony","ObsDateTime_Start","ObsDate_Start","ObsTime_Start","ObsDuration_Total_S","ObsDuration_Total_Hms","ObsDuration_Cont_S","ObsDateTime_Stop","ObsDate_Stop","ObsTime_Stop","TotalScan","TotalScan_Est","ReplicatesCount","TotalScan_Calc"
9229,2842,-3.8524666706721,"Scan","MR_RawData",705,"Hoodoo",2022-07-22 13:39:08,2022-07-22,13:39:08.863,8640,02:24:00,2681,2022-07-22 16:03:08,2022-07-22,"16:03:08",37,36,1,36
10173,3243,NA,"Scan","MR_RawData",546,"Kapantsi",2023-10-16 06:56:56,2023-10-16,06:56:56.386,10560,02:56:00,559,2023-10-16 09:52:56,2023-10-16,"09:52:56",45,44,1,27
10165,3239,-174.479833336671,"Scan","MR_RawData",546,"Kapantsi",2023-10-16 06:58:27,2023-10-16,06:58:27.596,10560,02:56:00,3777,2023-10-16 09:54:27,2023-10-16,"09:54:27",45,44,1,45
10179,3246,NA,"Scan","MR_RawData",546,"Kapantsi",2023-10-16 16:00:12,2023-10-16,16:00:12.637,10560,02:56:00,985,2023-10-16 18:56:12,2023-10-16,"18:56:12",45,44,1,1
10171,3242,-174.175933337212,"Scan","MR_RawData",546,"Kapantsi",2023-10-16 16:02:02,2023-10-16,16:02:02.081,10560,02:56:00,6081,2023-10-16 18:58:02,2023-10-16,"18:58:02",45,44,1,45
6576,770,NA,"Scan","MR_RawData",462,"Kori",2019-10-10 14:24:38,2019-10-10,14:24:38.069,2160,00:36:00,1484,2019-10-10 15:00:38,2019-10-10,"15:00:38",10,9,1,9
6592,774,-0.222833335399628,"Scan","MR_RawData",462,"Kori",2019-10-10 15:00:24,2019-10-10,15:00:24.699,14160,03:56:00,6535,2019-10-10 18:56:24,2019-10-10,"18:56:24",60,59,1,60
8602,2619,NA,"Scan","MR_RawData",462,"Kori",2021-12-14 07:29:26,2021-12-14,07:29:26.944,10560,02:56:00,2833,2021-12-14 10:25:26,2021-12-14,"10:25:26",45,44,1,45
8603,2620,-0.126150000095367,"Scan","MR_RawData",462,"Kori",2021-12-14 10:25:19,2021-12-14,10:25:19.375,10560,02:56:00,1879,2021-12-14 13:21:19,2021-12-14,"13:21:19",45,44,1,45
8533,2595,NA,"Scan","MR_RawData",673,"Licher",2022-01-21 07:06:13,2022-01-21,07:06:13.878,10560,02:56:00,2405,2022-01-21 10:02:13,2022-01-21,"10:02:13",45,44,1,45
8537,2596,-1.41068333387375,"Scan","MR_RawData",673,"Licher",2022-01-21 10:00:49,2022-01-21,10:00:49.237,10560,02:56:00,1039,2022-01-21 12:56:49,2022-01-21,"12:56:49",45,44,1,45
8745,2686,NA,"Scan","MR_RawData",673,"Licher",2022-03-22 13:20:30,2022-03-22,13:20:30.569,10800,03:00:00,1583,2022-03-22 16:20:30,2022-03-22,"16:20:30",46,45,1,45
8747,2687,-3.76898333628972,"Scan","MR_RawData",673,"Licher",2022-03-22 16:16:44,2022-03-22,16:16:44.430,10560,02:56:00,2155,2022-03-22 19:12:44,2022-03-22,"19:12:44",45,44,1,45
7840,1884,NA,"Scan","MR_RawData",329,"Pangolin",2018-07-18 13:28:14,2018-07-18,13:28:14.418,14053,03:54:13,2061,2018-07-18 17:22:27,2018-07-18,"17:22:27",53,59,1,52
7841,1885,-0.996600000063578,"Scan","MR_RawData",329,"Pangolin",2018-07-18 17:21:27,2018-07-18,17:21:27.622,8880,02:28:00,1981,2018-07-18 19:49:27,2018-07-18,"19:49:27",38,37,1,37
6781,893,NA,"Scan","MR_RawData",329,"Pangolin",2019-05-20 11:40:37,2019-05-20,11:40:37.692,10320,02:52:00,2263,2019-05-20 14:32:37,2019-05-20,"14:32:37",44,43,1,43
6782,894,-3.92696666717529,"Scan","MR_RawData",329,"Pangolin",2019-05-20 14:28:42,2019-05-20,14:28:42.074,14160,03:56:00,2257,2019-05-20 18:24:42,2019-05-20,"18:24:42",60,59,1,60
6863,958,NA,"Scan","MR_RawData",429,"PlakaPlaka",2019-06-05 11:33:11,2019-06-05,11:33:11.289,12720,03:32:00,1256,2019-06-05 15:05:11,2019-06-05,"15:05:11",54,53,1,54
6864,959,-0.111600001653035,"Scan","MR_RawData",429,"PlakaPlaka",2019-06-05 15:05:04,2019-06-05,15:05:04.593,14160,03:56:00,1572,2019-06-05 19:01:04,2019-06-05,"19:01:04",60,59,1,60
8255,2296,NA,"Scan","MR_RawData",446,"Roms",2021-04-12 07:34:18,2021-04-12,07:34:18.432,8505,02:21:45,2004,2021-04-12 09:56:03,2021-04-12,"09:56:03",32,35,1,31
8256,2297,-15.6892000039419,"Scan","MR_RawData",446,"Roms",2021-04-12 09:40:22,2021-04-12,09:40:22.080,10560,02:56:00,3299,2021-04-12 12:36:22,2021-04-12,"12:36:22",45,44,1,45
6918,1008,NA,"Scan","MR_RawData",437,"RuRu",2019-07-03 11:45:12,2019-07-03,11:45:12.725,480,00:08:00,120,2019-07-03 11:53:12,2019-07-03,"11:53:12",3,2,1,2
6919,1009,-0.200016665458679,"Scan","MR_RawData",437,"RuRu",2019-07-03 11:53:00,2019-07-03,11:53:00.724,14160,03:56:00,643,2019-07-03 15:49:00,2019-07-03,"15:49:00",60,59,1,60
7376,1456,NA,"Scan","MR_RawData",428,"Shorny",2020-07-03 15:56:12,2020-07-03,15:56:12.330,3600,01:00:00,1620,2020-07-03 16:56:12,2020-07-03,"16:56:12",16,15,1,15
7377,1457,-1.0558166662852,"Scan","MR_RawData",428,"Shorny",2020-07-03 16:55:08,2020-07-03,16:55:08.981,11040,03:04:00,2903,2020-07-03 19:59:08,2020-07-03,"19:59:08",47,46,1,46
8046,2083,NA,"Scan","MR_RawData",428,"Shorny",2020-11-05 11:56:25,2020-11-05,11:56:25.657,12720,03:32:00,2851,2020-11-05 15:28:25,2020-11-05,"15:28:25",54,53,1,53
8047,2084,-0.838466668128967,"Scan","MR_RawData",428,"Shorny",2020-11-05 15:27:35,2020-11-05,15:27:35.349,12720,03:32:00,2055,2020-11-05 18:59:35,2020-11-05,"18:59:35",54,53,1,54
6578,770,NA,"Scan","MR_RawData",467,"Tarentaal",2019-10-10 14:24:38,2019-10-10,14:24:38.069,2160,00:36:00,1484,2019-10-10 15:00:38,2019-10-10,"15:00:38",10,9,1,9
6594,774,-0.222833335399628,"Scan","MR_RawData",467,"Tarentaal",2019-10-10 15:00:24,2019-10-10,15:00:24.699,14160,03:56:00,6535,2019-10-10 18:56:24,2019-10-10,"18:56:24",60,59,1,60
7025,1115,NA,"Scan","MR_RawData",107,"Tesla",2019-09-23 11:32:55,2019-09-23,11:32:55.812,7200,02:00:00,3671,2019-09-23 13:32:55,2019-09-23,"13:32:55",31,30,1,30
7026,1116,-0.631216665108999,"Scan","MR_RawData",107,"Tesla",2019-09-23 13:32:17,2019-09-23,13:32:17.939,14160,03:56:00,6598,2019-09-23 17:28:17,2019-09-23,"17:28:17",60,59,1,60
6381,701,NA,"Scan","MR_RawData",4,"Tinbergen",2018-10-25 12:59:57,2018-10-25,12:59:57.430,10800,03:00:00,1900,2018-10-25 15:59:57,2018-10-25,"15:59:57",46,45,1,45
6382,702,-0.0395166635513306,"Scan","MR_RawData",4,"Tinbergen",2018-10-25 15:59:55,2018-10-25,15:59:55.059,10800,03:00:00,1268,2018-10-25 18:59:55,2018-10-25,"18:59:55",46,45,1,45
8531,2595,NA,"Scan","MR_RawData",671,"Trolls",2022-01-21 07:06:13,2022-01-21,07:06:13.878,10560,02:56:00,2405,2022-01-21 10:02:13,2022-01-21,"10:02:13",45,44,1,45
8535,2596,-1.41068333387375,"Scan","MR_RawData",671,"Trolls",2022-01-21 10:00:49,2022-01-21,10:00:49.237,10560,02:56:00,1039,2022-01-21 12:56:49,2022-01-21,"12:56:49",45,44,1,45
8532,2595,NA,"Scan","MR_RawData",672,"Tusker",2022-01-21 07:06:13,2022-01-21,07:06:13.878,10560,02:56:00,2405,2022-01-21 10:02:13,2022-01-21,"10:02:13",45,44,1,45
8536,2596,-1.41068333387375,"Scan","MR_RawData",672,"Tusker",2022-01-21 10:00:49,2022-01-21,10:00:49.237,10560,02:56:00,1039,2022-01-21 12:56:49,2022-01-21,"12:56:49",45,44,1,45
10089,3156,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-08-29 07:04:38,2023-08-29,07:04:38.408,10560,02:56:00,373,2023-08-29 10:00:38,2023-08-29,"10:00:38",45,44,1,45
10086,3153,-175.272800000509,"Scan","MR_RawData",365,"Virgin Islands",2023-08-29 07:05:22,2023-08-29,07:05:22.040,10560,02:56:00,5555,2023-08-29 10:01:22,2023-08-29,"10:01:22",45,44,1,45
10090,3157,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-08-29 10:05:52,2023-08-29,10:05:52.229,10560,02:56:00,426,2023-08-29 13:01:52,2023-08-29,"13:01:52",45,44,1,45
10084,3151,-175.212083335718,"Scan","MR_RawData",365,"Virgin Islands",2023-08-29 10:06:39,2023-08-29,10:06:39.504,10560,02:56:00,5341,2023-08-29 13:02:39,2023-08-29,"13:02:39",45,44,1,45
10082,3149,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 06:58:54,2023-10-04,06:58:54.735,10800,03:00:00,375,2023-10-04 09:58:54,2023-10-04,"09:58:54",45,45,1,45
10071,3138,-179.015450000763,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 06:59:53,2023-10-04,06:59:53.808,10800,03:00:00,5277,2023-10-04 09:59:53,2023-10-04,"09:59:53",45,45,1,45
10083,3150,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 10:00:26,2023-10-04,10:00:26.801,10799,02:59:59,635,2023-10-04 13:00:25,2023-10-04,"13:00:25",45,45,1,45
10070,3137,-179.104416668415,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 10:01:19,2023-10-04,10:01:19.536,10800,03:00:00,7499,2023-10-04 13:01:19,2023-10-04,"13:01:19",45,45,1,45
10070,3137,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 10:01:19,2023-10-04,10:01:19.536,10800,03:00:00,7499,2023-10-04 13:01:19,2023-10-04,"13:01:19",45,45,1,45
10081,3148,-0.477666668097178,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 13:00:50,2023-10-04,13:00:50.876,10560,02:56:00,494,2023-10-04 15:56:50,2023-10-04,"15:56:50",45,44,1,45
10081,3148,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 13:00:50,2023-10-04,13:00:50.876,10560,02:56:00,494,2023-10-04 15:56:50,2023-10-04,"15:56:50",45,44,1,45
10068,3135,-175.253099997838,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 13:01:35,2023-10-04,13:01:35.690,10800,03:00:00,6629,2023-10-04 16:01:35,2023-10-04,"16:01:35",45,45,1,45
10068,3135,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 13:01:35,2023-10-04,13:01:35.690,10800,03:00:00,6629,2023-10-04 16:01:35,2023-10-04,"16:01:35",45,45,1,45
10079,3146,-0.529366668065389,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 16:01:03,2023-10-04,16:01:03.928,10800,03:00:00,306,2023-10-04 19:01:03,2023-10-04,"19:01:03",45,45,1,45
10079,3146,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 16:01:03,2023-10-04,16:01:03.928,10800,03:00:00,306,2023-10-04 19:01:03,2023-10-04,"19:01:03",45,45,1,45
10069,3136,-178.830666665236,"Scan","MR_RawData",365,"Virgin Islands",2023-10-04 16:02:14,2023-10-04,16:02:14.088,10800,03:00:00,6052,2023-10-04 19:02:14,2023-10-04,"19:02:14",45,45,1,45
10075,3142,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 06:58:04,2023-10-05,06:58:04.593,10799,02:59:59,498,2023-10-05 09:58:03,2023-10-05,"09:58:03",45,45,1,45
10080,3147,-179.027500001589,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 06:59:01,2023-10-05,06:59:01.943,10799,02:59:59,4688,2023-10-05 09:59:00,2023-10-05,"09:59:00",45,45,1,45
10080,3147,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 06:59:01,2023-10-05,06:59:01.943,10799,02:59:59,4688,2023-10-05 09:59:00,2023-10-05,"09:59:00",45,45,1,45
10073,3140,-0.489066664377848,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 09:58:31,2023-10-05,09:58:31.599,10800,03:00:00,881,2023-10-05 12:58:31,2023-10-05,"12:58:31",45,45,1,45
10073,3140,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 09:58:31,2023-10-05,09:58:31.599,10800,03:00:00,881,2023-10-05 12:58:31,2023-10-05,"12:58:31",45,45,1,45
10078,3145,-179.131033333143,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 09:59:23,2023-10-05,09:59:23.737,10800,03:00:00,6571,2023-10-05 12:59:23,2023-10-05,"12:59:23",45,45,1,45
10078,3145,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 09:59:23,2023-10-05,09:59:23.737,10800,03:00:00,6571,2023-10-05 12:59:23,2023-10-05,"12:59:23",45,45,1,45
10074,3141,-0.296533330281576,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 12:59:05,2023-10-05,12:59:05.945,10800,03:00:00,512,2023-10-05 15:59:05,2023-10-05,"15:59:05",45,45,1,45
10074,3141,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 12:59:05,2023-10-05,12:59:05.945,10800,03:00:00,512,2023-10-05 15:59:05,2023-10-05,"15:59:05",45,45,1,45
10076,3143,-179.285433336099,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 12:59:48,2023-10-05,12:59:48.819,10800,03:00:00,4469,2023-10-05 15:59:48,2023-10-05,"15:59:48",45,45,1,45
10076,3143,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 12:59:48,2023-10-05,12:59:48.819,10800,03:00:00,4469,2023-10-05 15:59:48,2023-10-05,"15:59:48",45,45,1,45
10072,3139,-0.163899997870127,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 15:59:38,2023-10-05,15:59:38.985,10800,03:00:00,466,2023-10-05 18:59:38,2023-10-05,"18:59:38",45,45,1,45
10072,3139,NA,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 15:59:38,2023-10-05,15:59:38.985,10800,03:00:00,466,2023-10-05 18:59:38,2023-10-05,"18:59:38",45,45,1,45
10077,3144,-178.998150002956,"Scan","MR_RawData",365,"Virgin Islands",2023-10-05 16:00:39,2023-10-05,16:00:39.096,10800,03:00:00,6775,2023-10-05 19:00:39,2023-10-05,"19:00:39",45,45,1,45
7313,1393,NA,"Scan","MR_RawData",440,"Vunit",2020-05-18 16:16:55,2020-05-18,16:16:55.301,7535,02:05:35,4434,2020-05-18 18:22:30,2020-05-18,"18:22:30",29,31,1,28
7314,1394,-2.66115000247955,"Scan","MR_RawData",440,"Vunit",2020-05-18 18:19:50,2020-05-18,18:19:50.632,5040,01:24:00,454,2020-05-18 19:43:50,2020-05-18,"19:43:50",22,21,1,22
6579,770,NA,"Scan","MR_RawData",472,"Waxbill",2019-10-10 14:24:38,2019-10-10,14:24:38.069,2160,00:36:00,1484,2019-10-10 15:00:38,2019-10-10,"15:00:38",10,9,1,9
6595,774,-0.222833335399628,"Scan","MR_RawData",472,"Waxbill",2019-10-10 15:00:24,2019-10-10,15:00:24.699,14160,03:56:00,6535,2019-10-10 18:56:24,2019-10-10,"18:56:24",60,59,1,60
7053,1143,NA,"Scan","MR_RawData",183,"West",2019-10-18 11:05:46,2019-10-18,11:05:46.824,7122,01:58:42,3320,2019-10-18 13:04:28,2019-10-18,"13:04:28",28,30,1,27
7054,1144,-9.34581666390101,"Scan","MR_RawData",183,"West",2019-10-18 12:55:08,2019-10-18,12:55:08.075,14160,03:56:00,6672,2019-10-18 16:51:08,2019-10-18,"16:51:08",60,59,1,60
8443,2508,NA,"Scan","MR_RawData",183,"West",2022-01-31 07:15:56,2022-01-31,07:15:56.585,10560,02:56:00,3375,2022-01-31 10:11:56,2022-01-31,"10:11:56",45,44,1,45
8408,2473,-1.16161666711171,"Scan","MR_RawData",183,"West",2022-01-31 10:10:46,2022-01-31,10:10:46.888,10560,02:56:00,3352,2022-01-31 13:06:46,2022-01-31,"13:06:46",45,44,1,45
8524,2589,NA,"Scan","MR_RawData",183,"West",2022-07-14 07:56:28,2022-07-14,07:56:28.025,8400,02:20:00,2896,2022-07-14 10:16:28,2022-07-14,"10:16:28",36,35,1,35
8525,2590,-0.9933833360672,"Scan","MR_RawData",183,"West",2022-07-14 10:15:28,2022-07-14,10:15:28.422,10560,02:56:00,6193,2022-07-14 13:11:28,2022-07-14,"13:11:28",45,44,1,45
6753,861,NA,"Scan","MR_RawData",34,"Zunki 3",2019-02-04 15:00:26,2019-02-04,15:00:26.778,6960,01:56:00,2058,2019-02-04 16:56:26,2019-02-04,"16:56:26",30,29,1,29
6754,862,-2.83733332951864,"Scan","MR_RawData",34,"Zunki 3",2019-02-04 16:53:36,2019-02-04,16:53:36.538,7680,02:08:00,2210,2019-02-04 19:01:36,2019-02-04,"19:01:36",33,32,1,32
6818,922,NA,"Scan","MR_RawData",34,"Zunki 3",2019-04-04 11:53:48,2019-04-04,11:53:48.783,7200,02:00:00,4053,2019-04-04 13:53:48,2019-04-04,"13:53:48",31,30,1,31
6819,923,-1.02071666717529,"Scan","MR_RawData",34,"Zunki 3",2019-04-04 13:52:47,2019-04-04,13:52:47.540,14160,03:56:00,5236,2019-04-04 17:48:47,2019-04-04,"17:48:47",60,59,1,60
